Unique_ID,Business Name,Address1,Address2,City,State,Zip,Country
1,Liberty Mutual Insurance,175 Berkeley St,,Boston,MA,2116,US
2,B & S LLC,6965 SPEEDWAY BLVD,,Las Vegas,NV,89115,US
3,"Johnson's Auto Repair, Inc.",1263 Barstow Ave,,Clovis,CA,93612-1970,US
4,Cross Automotive Inc,913 S Georgia St,,Amarillo,TX,79102-1203,US
5,Premier Car Restoration,216 Cooper Lane,,Easley,SC,29642,US
6,Wheel Repair Xperts,Po Box 112,,Dimock,PA,18816-0112,US
7,"West Georgia Auto Brokers, LLC",2100 Fairburn Rd,,Douglasville,GA,30135-1074,US
8,FARIDA POWAY ENTERPRISES INC,14713 Pomerado Rd,,Poway,CA,92064-2802,US
9,Signature Collision Centers,45 Hudson St,,Annapolis,MD,21401-3110,US
10,a,a,a,a,a,a,a
